,Province/State,Country/Region,Lat,Long,3/11/20,3/12/20,Delta,Percentage,date
310,"Marion County, IN",US,39.83620000,-86.17520000,0,0,0,,2020-03-12 22:25:28.337717
311,"Middlesex County, MA",US,42.46720000,-71.28740000,0,0,0,,2020-03-12 22:25:28.337717
312,"Nassau County, NY",US,40.65460000,-73.55940000,0,0,0,,2020-03-12 22:25:28.337717
313,"Ramsey County, MN",US,44.99640000,-93.06160000,0,0,0,,2020-03-12 22:25:28.337717
314,"Washoe County, NV",US,40.56080000,-119.60350000,0,0,0,,2020-03-12 22:25:28.337717
315,"Wayne County, PA",US,41.67390000,-75.24790000,0,0,0,,2020-03-12 22:25:28.337717
316,"Yolo County, CA",US,38.76460000,-121.90180000,0,0,0,,2020-03-12 22:25:28.337717
317,"Santa Clara County, CA",US,37.35410000,-121.95520000,0,0,0,,2020-03-12 22:25:28.337717
318,"Clark County, NV",US,36.07960000,-115.09400000,0,0,0,,2020-03-12 22:25:28.337717
319,"Fort Bend County, TX",US,29.56930000,-95.81430000,0,0,0,,2020-03-12 22:25:28.337717
320,"Grant County, WA",US,47.19810000,-119.37320000,0,0,0,,2020-03-12 22:25:28.337717
321,"Santa Rosa County, FL",US,30.76900000,-86.98240000,0,0,0,,2020-03-12 22:25:28.337717
322,"Williamson County, TN",US,35.91790000,-86.86220000,0,0,0,,2020-03-12 22:25:28.337717
323,"New York County, NY",US,40.71280000,-74.00600000,0,0,0,,2020-03-12 22:25:28.337717
324,"Montgomery County, MD",US,39.15470000,-77.24050000,0,0,0,,2020-03-12 22:25:28.337717
325,"Suffolk County, MA",US,42.36010000,-71.05890000,0,0,0,,2020-03-12 22:25:28.337717
326,"Denver County, CO",US,39.73920000,-104.99030000,0,0,0,,2020-03-12 22:25:28.337717
327,"Summit County, CO",US,39.59120000,-106.06400000,0,0,0,,2020-03-12 22:25:28.337717
328,"Bergen County, NJ",US,40.92630000,-74.07700000,0,0,0,,2020-03-12 22:25:28.337717
329,"Harris County, TX",US,29.77520000,-95.31030000,0,0,0,,2020-03-12 22:25:28.337717
330,"San Francisco County, CA",US,37.77490000,-122.41940000,0,0,0,,2020-03-12 22:25:28.337717
331,"Contra Costa County, CA",US,37.85340000,-121.90180000,0,0,0,,2020-03-12 22:25:28.337717
332,"Orange County, CA",US,33.78790000,-117.85310000,0,0,0,,2020-03-12 22:25:28.337717
333,"Norfolk County, MA",US,42.17670000,-71.14490000,0,0,0,,2020-03-12 22:25:28.337717
334,"Maricopa County, AZ",US,33.29180000,-112.42910000,0,0,0,,2020-03-12 22:25:28.337717
335,"Wake County, NC",US,35.80320000,-78.56610000,0,0,0,,2020-03-12 22:25:28.337717
336,"Westchester County, NY",US,41.12200000,-73.79490000,0,0,0,,2020-03-12 22:25:28.337717
337,"Grafton County, NH",US,43.90880000,-71.82600000,0,0,0,,2020-03-12 22:25:28.337717
338,"Hillsborough, FL",US,27.99040000,-82.30180000,0,0,0,,2020-03-12 22:25:28.337717
339,"Placer County, CA",US,39.09160000,-120.80390000,0,0,0,,2020-03-12 22:25:28.337717
340,"San Mateo, CA",US,37.56300000,-122.32550000,0,0,0,,2020-03-12 22:25:28.337717
341,"Sonoma County, CA",US,38.57800000,-122.98880000,0,0,0,,2020-03-12 22:25:28.337717
342,"Umatilla, OR",US,45.77500000,-118.76060000,0,0,0,,2020-03-12 22:25:28.337717
343,"Fulton County, GA",US,33.80340000,-84.39630000,0,0,0,,2020-03-12 22:25:28.337717
344,"Washington County, OR",US,45.54700000,-123.13860000,0,0,0,,2020-03-12 22:25:28.337717
345,"Snohomish County, WA",US,48.03300000,-121.83390000,0,0,0,,2020-03-12 22:25:28.337717
346,"Humboldt County, CA",US,40.74500000,-123.86950000,0,0,0,,2020-03-12 22:25:28.337717
347,"Sacramento County, CA",US,38.47470000,-121.35420000,0,0,0,,2020-03-12 22:25:28.337717
348,"San Diego County, CA",US,32.71570000,-117.16110000,0,0,0,,2020-03-12 22:25:28.337717
349,"San Benito, CA",US,36.57610000,-120.98760000,0,0,0,,2020-03-12 22:25:28.337717
350,"Los Angeles, CA",US,34.05220000,-118.24370000,0,0,0,,2020-03-12 22:25:28.337717
351,"King County, WA",US,47.60620000,-122.33210000,0,0,0,,2020-03-12 22:25:28.337717
352,"Cook County, IL",US,41.73770000,-87.69760000,0,0,0,,2020-03-12 22:25:28.337717
353,"Skagit, WA",US,48.42420000,-121.71140000,0,0,0,,2020-03-12 22:25:28.337717
354,"Thurston, WA",US,46.86460000,-122.76960000,0,0,0,,2020-03-12 22:25:28.337717
355,"Island, WA",US,48.19760000,-122.57950000,0,0,0,,2020-03-12 22:25:28.337717
356,"Whatcom, WA",US,48.87870000,-121.97190000,0,0,0,,2020-03-12 22:25:28.337717
357,"Marin, CA",US,38.08340000,-122.76330000,0,0,0,,2020-03-12 22:25:28.337717
358,"Calaveras, CA",US,38.19600000,-120.68050000,0,0,0,,2020-03-12 22:25:28.337717
359,"Stanislaus, CA",US,37.50910000,-120.98760000,0,0,0,,2020-03-12 22:25:28.337717
360,"San Joaquin, CA",US,36.60660000,-120.18900000,0,0,0,,2020-03-12 22:25:28.337717
361,"Essex, MA",US,42.63200000,-70.78290000,0,0,0,,2020-03-12 22:25:28.337717
362,"Charlton, GA",US,30.79170000,-82.08430000,0,0,0,,2020-03-12 22:25:28.337717
363,"Collier, FL",US,26.07000000,-81.42790000,0,0,0,,2020-03-12 22:25:28.337717
