date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,is_country,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Washington,46.751074,-120.740139,True,,,,,,,,,,,,,,,,,,,,WA,75,11,Wash.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Xinjiang,40.06,87.7,True,,,,,,,,,,,Mainland China,,,,,,,,Xinjiang (Mainland China),,76,3,,
Thu Mar  5 20:52:07 PST 2020,1583470327,NLD,Netherlands,Netherlands,,52.133,5.291,True,True,True,,https://twitter.com/GertvanderHoek/status/1235578413198475264?s=20,82,,0001-03-05,True,,,Netherlands,,,,,,,,Netherlands,,82,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,NOR,Norway,Norway,,60.472,8.469,True,True,True,,,,,,True,,,Norway,,,True,,,,,Norway,,91,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Jilin,43.85,126.5,True,,,,,,,,,,,Mainland China,,,,,,,,Jilin (Mainland China),,93,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,SWE,Sweden,Sweden,,60.128,18.644,True,True,True,,,,,,True,,,Sweden,,,,,,,,Sweden,,94,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Gansu,40.39,96.81,True,,,,,,,,,,,Mainland China,,,,,,,,Gansu (Mainland China),,102,2,,
Thu Mar  5 20:52:07 PST 2020,1583470327,HKG,Hong Kong,Hong Kong,Hong Kong,22.396,114.109,True,True,False,,,,,,True,,,Hong Kong,,,,,,,,Hong Kong (Hong Kong),,105,2,,
Thu Mar  5 20:52:07 PST 2020,1583470327,GBR,UK,UK,,55.378,-3.436,True,True,True,,,,,,True,True,True,UK,,,True,,,the United Kingdom,,UK,,116,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,SGP,Singapore,Singapore,,1.352,103.82,True,True,True,,,,,,True,True,True,Singapore,right,,,,,,,Singapore,,117,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHE,Switzerland,Switzerland,,46.818,8.228,True,True,True,,,,,,True,,,Switzerland,,,,,,,,Switzerland,,119,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Liaoning,41.3,121.9,True,,,,,,,,,,,Mainland China,,,,,,,,Liaoning (Mainland China),,125,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Shanxi,37.64,110.15,True,,,,,,,,,,,Mainland China,,,,,,,,Shanxi (Mainland China),,133,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Tianjin,39.13,117.01,True,,,,,,,,,,,Mainland China,,,,,,,,Tianjin (Mainland China),,136,3,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Guizhou,26.91,105.48,True,,,,,,,,,,,Mainland China,,,,,,,,Guizhou (Mainland China),,146,2,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Hainan,19.15,109.37,True,,,,,,,,,,,Mainland China,,,,,,,,Hainan (Mainland China),,168,6,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Yunnan,24.64,101.29,True,,,,,,,,,,,Mainland China,,,,,,,,Yunnan (Mainland China),,174,2,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Shaanxi,35.63,106.12,True,,,,,,,,,,,Mainland China,,,,,,,,Shaanxi (Mainland China),,245,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Guangxi,23.72,108.66,True,,,,,,,,,,,Mainland China,,,,,,,,Guangxi (Mainland China),,252,2,,
Thu Mar  5 20:52:07 PST 2020,1583470327,ESP,Spain,Spain,,40.464,-3.749,True,True,True,,,,,,True,,,Spain,,,True,,,,,Spain,,282,3,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Fujian,25.92,117.17,True,,,,,,,,,,,Mainland China,,,,,,,,Fujian (Mainland China),,296,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Hebei,38.48,115.24,True,,,,,,,,,,,Mainland China,,,,,,,,Hebei (Mainland China),,318,6,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Shanghai,31.19,121.48,True,,,,,,,,,,,Mainland China,,,,,,,,Shanghai (Mainland China),,339,3,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Beijing,39.9,116.3,True,,,,,,,,,,,Mainland China,count_only,,,,,,,Beijing (Mainland China),,422,8,,
Thu Mar  5 20:52:07 PST 2020,1583470327,FRA,France,France,,46.228,2.214,True,True,True,,Constant Meheut/RPP,423,7,0001-03-05,True,True,True,France,,,True,,,,,France,,423,7,,
