date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Fri Mar  6 20:33:34 PST 2020,1583555614,DZA,Algeria,Algeria,,28.034,1.66,True,True,True,,,,,,True,True,Algeria,,,,,,,,Algeria,,17,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CZE,Czech Republic,Czech Republic,,49.817,15.473,True,True,True,,,,,,,,Czech Republic,,,,,Czechia,,,Czech Republic,,18,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,IRL,Ireland,Ireland,,53.413,-8.244,True,True,True,,,,,,,,Ireland,,,,,,,,Ireland,,18,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Qinghai,35.39,93.99,True,,,,,,,,,,Mainland China,,,,,,,,Qinghai (Mainland China),,18,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Texas,31.968599,-99.901813,True,,,,,,,,,,,,,,,,,,,TX,19,0,Texas,US
Fri Mar  6 20:33:34 PST 2020,1583555614,ISR,Israel,Israel,,33,34.85,True,True,True,,,,,,True,True,Israel,,,,,,,,Israel,,21,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,SMR,San Marino,San Marino,,43.942,12.458,True,True,True,,,,,,,,San Marino,,,,,,,,San Marino,,21,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CAN,,Canada,British Columbia,54.84,-125.1,True,,,,,,,,,,Canada,,,,,,,,British Columbia (Canada),,21,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,LBN,Lebanon,Lebanon,,33.855,35.862,True,True,True,,,,,,,,Lebanon,,,,,,,,Lebanon,,22,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,DNK,Denmark,Denmark,,56.264,9.502,True,True,True,,,,,,,,Denmark,,,,,,,,Denmark,,23,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CAN,,Canada,"Toronto, ON",51.4,-87.12,True,,,,,,,,,,Canada,,,,,,,,"Toronto, ON (Canada)",,24,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,,Australia,New South Wales,-32.74,145.56,True,,,,,,,,,,Australia,,,,,,,,New South Wales (Australia),,26,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,ARE,U.A.E.,United Arab Emirates,,23.424,53.848,True,True,True,,,,,,,,United Arab Emirates,,,,,UAE,,,United Arab Emirates,,29,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,IND,India,India,,20.594,78.963,True,True,True,,,,,,True,True,India,top,,,,,,,India,,31,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,IRQ,Iraq,Iraq,,33.223,43.679,True,True,True,,,,,,,,Iraq,,,,,,,,Iraq,,40,3,,
Fri Mar  6 20:33:34 PST 2020,1583555614,ISL,Iceland,Iceland,,64.963,-19.021,True,True,True,,,,,,True,True,Iceland,top,,,,,,,Iceland,,43,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,New York,43,-75.12,True,,,,,,,,,,,,,,,,,,,NY,44,0,N.Y.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,GRC,Greece,Greece,,39.074,21.824,True,True,True,,Reuters,31,,Mar. 5,,,Greece,,,,,,,,Greece,,45,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,TWN,Taiwan,Taiwan,Taiwan,23.698,120.961,True,True,False,,,,,,,,Taiwan,top,,,,,,,Taiwan (Taiwan),,45,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,THA,Thailand,Thailand,,15.87,100.993,True,True,True,,,,,,,,Thailand,top,,,,,,,Thailand,,48,1,,
