date2,unixtime,adm0_a3,nyt_name,lat,lon,location,sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,mobile_table_name,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,jhu_location,jhu_sublocation,label,postal,confirmed,deaths,us_state_label,name
Sat Mar  7 14:48:05 PST 2020,1583621285,ISL,Iceland,64.963,-19.021,Iceland,,True,True,True,,,,,,,True,True,Iceland,top,,,,,,Iceland,,Iceland,,50,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,THA,Thailand,15.87,100.993,Thailand,,True,True,True,,,,,,,,,Thailand,top,,,,,,Thailand,,Thailand,,50,1,,
Sat Mar  7 14:48:05 PST 2020,1583621285,IRQ,Iraq,33.223,43.679,Iraq,,True,True,True,,,,,,,,,Iraq,,,,,,,Iraq,,Iraq,,54,4,,
Sat Mar  7 14:48:05 PST 2020,1583621285,KWT,Kuwait,29.312,47.482,Kuwait,,True,True,True,,,,,,,,,Kuwait,,,,,,,Kuwait,,Kuwait,,61,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,43.61,113.35,Mainland China,Inner Mongolia,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Inner Mongolia,Inner Mongolia (Mainland China),,75,1,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,37.3,104.85,Mainland China,Ningxia,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Ningxia,Ningxia (Mainland China),,75,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,40.06,87.7,Mainland China,Xinjiang,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Xinjiang,Xinjiang (Mainland China),,76,3,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,43,-75.12,US,New York,True,,,,,,,,,,,,,,,,,,,,,NY,76,0,N.Y.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,AUT,Austria,47.516,14.55,Austria,,True,True,True,,,,,,,,,Austria,,,,,,,Austria,,Austria,,79,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,BHR,Bahrain,25.93,50.638,Bahrain,,True,True,True,,,,,,,,,Bahrain,,,,,,,Bahrain,,Bahrain,,85,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,36.778261,-119.417932,US,California,True,,,,,,,,,,,,,,,,,,,,,CA,88,1,Calif.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,MYS,Malaysia,4.21,101.976,Malaysia,,True,True,True,,,,,,,,,Malaysia,right,True,,,,,Malaysia,,Malaysia,,93,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,43.85,126.5,Mainland China,Jilin,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Jilin,Jilin (Mainland China),,93,1,,
Sat Mar  7 14:48:05 PST 2020,1583621285,HKG,Hong Kong,22.396,114.109,Hong Kong,Hong Kong,True,True,False,,,,,,,,,Hong Kong,,,,,,,Hong Kong,Hong Kong,Hong Kong (Hong Kong),,108,2,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,46.751074,-120.740139,US,Washington,True,,,,,,,,,,,,,,,,,,,,,WA,108,16,Wash.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,40.39,96.81,Mainland China,Gansu,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Gansu,Gansu (Mainland China),,120,2,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,41.3,121.9,Mainland China,Liaoning,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Liaoning,Liaoning (Mainland China),,125,1,,
