date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,BLR,Belarus,53.71,27.953,Belarus,,True,True,True,,JHU issue,6,,0001-03-08,,Belarus,Belarus,,,,,,,,,Belarus,6,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,PAK,Pakistan,30.375,69.345,Pakistan,,True,True,True,,JHU issue,6,,0001-03-08,,Pakistan,Pakistan,,,,,,,,,Pakistan,6,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,HUN,Hungary,47.162,19.503,Hungary,,True,True,True,,JHU issue. keep,7,,0001-03-08,,Hungary,Hungary,,,,,,,,,Hungary,7,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,MEX,Mexico,23.635,-102.553,Mexico,,True,True,True,,JHU missing at noon on 3/8,7,,,,Mexico,Mexico,True,True,right,,,,,,Mexico,7,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHL,Chile,-35.675,-71.543,Chile,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",8,,0001-03-08,,Chile,Chile,,,,,,,,,Chile,8,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,AZE,Azerbaijan,40.143,47.577,Azerbaijan,,True,True,True,,JHU issue,9,,0001-03-08,,Azerbaijan,Azerbaijan,,,,,,,,,Azerbaijan,9,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,EST,Estonia,58.595,25.014,Estonia,,True,True,True,,,,,,,Estonia,Estonia,,,,,,,,,Estonia,10,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,MAC,Macau,22.199,113.544,Macau,Macau,True,True,False,,,,,,,Macau,Macau,,,,,,,,,Macau (Macau),10,0,10
Mon Mar  9 13:50:22 PDT 2020,1583787022,ARG,Argentina,-38.416,-63.617,Argentina,,True,True,True,,,,,,,Argentina,Argentina,True,True,,,,,,,Argentina,12,1,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,HRV,Croatia,45.1,15.2,Croatia,,True,True,True,,,,,,,Croatia,Croatia,,,,,,,,,Croatia,12,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,ECU,Ecuador,-1.831,-78.183,Ecuador,,True,True,True,,,,,,,Ecuador,Ecuador,,,,,,,,,Ecuador,15,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,GEO,Georgia,42.315,43.357,Georgia,,True,True,True,,JHU issue. keep,4,,0001-03-07,,Georgia,Georgia,,,,,,,,,Georgia,15,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,ROU,Romania,45.943,24.967,Romania,,True,True,True,,,,,,,Romania,Romania,,,,,,,,,Romania,15,0,3
Mon Mar  9 13:50:22 PDT 2020,1583787022,SAU,Saudi Arabia,23.886,45.079,Saudi Arabia,,True,True,True,,JH dashboard but not sheet,1,,0001-03-07,,Saudi Arabia,Saudi Arabia,,,,,,,,,Saudi Arabia,15,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUS,,-20.918,142.703,Australia,Queensland,True,,,,,,,,,,,,,,,,,,,Queensland (Australia),15,0,8
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUS,,-36.56,143.25,Australia,Victoria,True,,,,,,,,,,,,,,,,,,,Victoria (Australia),15,0,7
Mon Mar  9 13:50:22 PDT 2020,1583787022,OMN,Oman,21.513,55.923,Oman,,True,True,True,,,,,,,Oman,Oman,,,,,,,,,Oman,16,0,2
Mon Mar  9 13:50:22 PDT 2020,1583787022,SVN,Slovenia,46.151,14.995,Slovenia,,True,True,True,,,,,,,Slovenia,Slovenia,,,,,,,,,Slovenia,16,0,0
