date2,unixtime,nyt_id,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,jhu_country_region,jhu_state_province,override_count_,override_deaths_,label,confirmed,deaths,recovered
Tue Mar 10 21:41:11 PDT 2020,1583901671,28,BRA,Brazil,-14.235,-51.925,Brazil,,True,True,True,,,,,,,Brazil,Brazil,True,True,,,,,,,Brazil,,,,Brazil,31,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,185,SVN,Slovenia,46.151,14.995,Slovenia,,True,True,True,,,,,,,Slovenia,Slovenia,,,,,,,,,Slovenia,,,,Slovenia,31,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,222,VNM,Vietnam,14.058,108.277,Viet Nam,,True,True,True,,,,,,,Vietnam,Vietnam,,,right,,,,,,Viet Nam,,,,Viet Nam,31,0,16
Tue Mar 10 21:41:11 PDT 2020,1583901671,165,PHL,Philippines,12.88,121.774,Philippines,,True,True,True,,JHU issue,5,,0001-03-07,,Philippines,Philippines,,,right,True,,,,,Philippines,,,,Philippines,33,1,2
Tue Mar 10 21:41:11 PDT 2020,1583901671,94,IRL,Ireland,53.413,-8.244,Ireland,,True,True,True,,Ireland dept of health,21,,0001-03-08,,Ireland,Ireland,,,,,,,,,Ireland,,,,Ireland,34,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,283,CAN,,51.4,-87.12,Canada,Ontario,True,,,,,,,,,,,,,,,,,,,Canada,Ontario,,,Ontario (Canada),36,0,4
Tue Mar 10 21:41:11 PDT 2020,1583901671,281,CAN,,54.84,-125.1,Canada,British Columbia,True,,,,,,,,,,,,,,,,,,,Canada,British Columbia,,,British Columbia (Canada),39,1,4
Tue Mar 10 21:41:11 PDT 2020,1583901671,65,FIN,Finland,61.924,25.748,Finland,,True,True,True,,,,,,,Finland,Finland,,,,,,,,,Finland,,,,Finland,40,0,1
Tue Mar 10 21:41:11 PDT 2020,1583901671,51,CZE,Czech Republic,49.817,15.473,Czech Republic,,True,True,True,,,,,,,Czechia,Czech Republic,,,,,,,,,Czech Republic,,,,Czech Republic,41,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,119,LBN,Lebanon,33.855,35.862,Lebanon,,True,True,True,,,,,,,Lebanon,Lebanon,,,,,,,,,Lebanon,,,,Lebanon,41,1,1
Tue Mar 10 21:41:11 PDT 2020,1583901671,235,PRT,Portugal,39.4,-8.224,Portugal,,True,True,True,,,,,,,Portugal,Portugal,,,,,,,,,Portugal,,,,Portugal,41,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,210,TWN,Taiwan,23.698,120.961,China,Taipei and environs,True,True,False,,JHU issue -- theyre now listing it as a sublocation under China,47,1,0001-03-10,,Taiwan,Taiwan,,,top,,,,,,China,Taipei and environs,,,Taipei and environs (China),47,1,17
Tue Mar 10 21:41:11 PDT 2020,1583901671,189,SMR,San Marino,43.942,12.458,San Marino,,True,True,True,,,,,,,San Marino,San Marino,,,,,,,,,San Marino,,,,San Marino,51,2,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,201,THA,Thailand,15.87,100.993,Thailand,,True,True,True,,,,,,,Thailand,Thailand,,,top,,,,,,Thailand,,,,Thailand,53,1,33
Tue Mar 10 21:41:11 PDT 2020,1583901671,275,AUS,,-32.74,145.56,Australia,New South Wales,True,,,,,,,,,,,,,,,,,,,Australia,New South Wales,,,New South Wales (Australia),55,2,4
Tue Mar 10 21:41:11 PDT 2020,1583901671,97,IND,India,20.594,78.963,India,,True,True,True,,,,,,,India,India,True,True,top,,,,,,India,,,,India,56,0,4
