COUNTY,CONFIRMED
DUVAL,1
CLAY,1
BROWARD,5
HILLSBOROUGH,1
LEE,1
CASS,1
LINN,6
MIAMI-DADE,1
DALLAS,5
NEW YORK,1
CARSON CITY,1
SALT LAKE,1
ONSLOW,1
JEFFERSON,2
ORLEANS,13
ST. CHARLES,1
ST. TAMMANY,2
TERREBONNE,1
CUMBERLAND,1
HUDSON,1
BUTLER,1
MONTGOMERY,1
DELAWARE,2
MONTGOMERY,4
DOUGLAS,2
FAIRFAX,2
JAMES CITY,5
LOUDOUN,1
PRINCE WILLIAM,1
HARRISONBURG CITY,1
ARLINGTON,3
PRINCE GEORGE'S,2
CHARLES,1
ANNE ARUNDEL,1
BALTIMORE,1
TRAVIS,1
BARTOW,3
CHEROKEE,4
GORDON,2
HENRY,1
COLLIN,1
DELAWARE,2
PHILADELPHIA,2
MONROE,1
FORREST,2
MCCOOK,1
GALVESTON,1
BERNALILLO,3
SANTA FE,1
UNKNOWN,9
ADAMS,1
ARAPAHOE,4
DENVER,4
EAGLE,3
EL PASO,1
JEFFERSON,1
PUEBLO,1
SUMMIT,2
WELD,2
EAGLE,2
ROUTT,1
UNKNOWN,1
NEW YORK,59
WESTCHESTER,10
DUTCHESS,2
NASSAU,10
ORANGE,2
ROCKLAND,2
SCHENECTADY,1
SUFFOLK,8
ULSTER,1
KITSAP,1
HENNEPIN,2
WRIGHT,1
RAMSEY,1
DAKOTA,1
UNKNOWN,1
ESSEX,5
BERGEN,4
BURLINGTON,1
HUDSON,1
MIDDLESEX,2
MONMOUTH,2
MORRIS,2
OCEAN,1
PASSAIC,1
TRAVIS,1
CUYAHOGA,8
TARRANT,1
DAVIDSON,4
WILLIAMSON,1
JEFFERSON,1
RUTHERFORD,1
HAMILTON,1
WAYNE,1
WASHTENAW,1
WAYNE,1
UNKNOWN,1
CHESTER,1
LOS ANGELES,8
CONTRA COSTA,16
CLARK,6
ORLEANS,3
BARTOW,1
MIDDLESEX,11
SUFFOLK,4
FAIRFIELD,3
LITCHFIELD,2
KING,58
CAMDEN,1
FORT BEND,3
CUMBERLAND,3
DELAWARE,1
MONTGOMERY,1
WASHINGTON,1
DOUGLAS,2
COOK,13
LAKE,1
SNOHOMISH,25
WAYNE,1
LEFLORE,1
KERSHAW,1
PIERCE,2
CLARK,2
SKAGIT,1
ADA,1
HENRY,1
HARRISON,1
CLARK,2
ST. LOUIS,1
DENVER,2
DOUGLAS,1
GUNNISON,1
JEFFERSON,2
ELMORE,1
LIMESTONE,1
TUSCALOOSA,1
THURSTON,2
SAN JOAQUIN,5
BUCKS,1
WAKE,1
RIVERSIDE,1
BAY,1
CHARLEVOIX,1
WAYNE,1
MACOMB,1
OAKLAND,3
WAYNE,2
UNKNOWN,3
GALLATIN,1
YELLOWSTONE,1
SILVER BOW,1
LEWIS AND CLARK,1
RIVERSIDE,3
SAN DIEGO,4
SANTA CLARA,13
YOLO,1
ORANGE,7
SAN FRANCISCO,5
ROCKINGHAM,1
OKLAHOMA,1
FREMONT,1
ORANGE,2
OSCEOLA,1
MIAMI-DADE,1
MANATEE,2
VOLUSIA,1
ALACHUA,1
PALM BEACH,2
MIAMI-DADE,2
BROWARD,1
MIAMI-DADE,2
BROWARD,8
MIAMI-DADE,1
PALM BEACH,1
DOUGLAS,1
VENTURA,3
TULARE,1
CLEAR CREEK,1
DALLAS,1
TRAVIS,1
SMITH,3
TRAVIS,1
EL PASO,1
UNKNOWN,6
CLARK,2
GRANT,1
BELL,1
COPIAH,1
PEARL RIVER,1
JEFFERSON,1
UNKNOWN,1
SHEBOYGAN,3
RACINE,1
MILWAUKEE,2
FOND DU LAC,4
DANE,1
LOUDOUN,1
WESTCHESTER,11
