COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
HUMBOLDT,134623,1,0,Thu Mar  5 19:43:56 PST 2020,1583466236
SACRAMENTO,1418788,2,0,Thu Mar  5 19:43:56 PST 2020,1583466236
ALAMEDA,1510271,2,0,Thu Mar  5 19:43:56 PST 2020,1583466236
WALLA WALLA,58781,1,0,Thu Mar  5 19:43:56 PST 2020,1583466236
PLACER,348432,2,1,Thu Mar  5 19:43:56 PST 2020,1583466236
SAN MATEO,718451,1,0,Thu Mar  5 19:43:56 PST 2020,1583466236
CONTRA COSTA,1049025,1,0,Thu Mar  5 19:43:56 PST 2020,1583466236
ORANGE,3010232,3,0,Thu Mar  5 19:53:35 PST 2020,1583466815
LOS ANGELES,9818605,7,0,Thu Mar  5 19:53:35 PST 2020,1583466815
SANTA CLARA,1781642,14,0,Thu Mar  5 19:53:35 PST 2020,1583466815
SAN FRANCISCO,805235,3,0,Thu Mar  5 19:53:35 PST 2020,1583466815
SAN DIEGO,3095313,1,0,Thu Mar  5 19:53:35 PST 2020,1583466815
MARIN,252409,1,0,Thu Mar  5 19:53:35 PST 2020,1583466815
SONOMA,483878,2,0,Thu Mar  5 19:53:35 PST 2020,1583466815
SOLANO,413344,13,0,Thu Mar  5 19:53:35 PST 2020,1583466815
NAPA,136484,1,0,Thu Mar  5 19:53:35 PST 2020,1583466815
HUMBOLDT,134623,1,0,Thu Mar  5 19:53:35 PST 2020,1583466815
SACRAMENTO,1418788,2,0,Thu Mar  5 19:53:35 PST 2020,1583466815
ALAMEDA,1510271,2,0,Thu Mar  5 19:53:35 PST 2020,1583466815
WALLA WALLA,58781,1,0,Thu Mar  5 19:53:35 PST 2020,1583466815
PLACER,348432,2,1,Thu Mar  5 19:53:35 PST 2020,1583466815
SAN MATEO,718451,1,0,Thu Mar  5 19:53:35 PST 2020,1583466815
CONTRA COSTA,1049025,1,0,Thu Mar  5 19:53:35 PST 2020,1583466815
ORANGE,3010232,3,0,Thu Mar  5 19:54:52 PST 2020,1583466892
LOS ANGELES,9818605,7,0,Thu Mar  5 19:54:52 PST 2020,1583466892
SANTA CLARA,1781642,14,0,Thu Mar  5 19:54:52 PST 2020,1583466892
SAN FRANCISCO,805235,3,0,Thu Mar  5 19:54:52 PST 2020,1583466892
SAN DIEGO,3095313,1,0,Thu Mar  5 19:54:52 PST 2020,1583466892
MARIN,252409,1,0,Thu Mar  5 19:54:52 PST 2020,1583466892
SONOMA,483878,2,0,Thu Mar  5 19:54:52 PST 2020,1583466892
SOLANO,413344,13,0,Thu Mar  5 19:54:52 PST 2020,1583466892
NAPA,136484,1,0,Thu Mar  5 19:54:52 PST 2020,1583466892
HUMBOLDT,134623,1,0,Thu Mar  5 19:54:52 PST 2020,1583466892
SACRAMENTO,1418788,2,0,Thu Mar  5 19:54:52 PST 2020,1583466892
ALAMEDA,1510271,2,0,Thu Mar  5 19:54:52 PST 2020,1583466892
WALLA WALLA,58781,1,0,Thu Mar  5 19:54:52 PST 2020,1583466892
PLACER,348432,2,1,Thu Mar  5 19:54:52 PST 2020,1583466892
SAN MATEO,718451,1,0,Thu Mar  5 19:54:52 PST 2020,1583466892
CONTRA COSTA,1049025,1,0,Thu Mar  5 19:54:52 PST 2020,1583466892
ORANGE,3010232,3,0,Thu Mar  5 20:30:03 PST 2020,1583469003
LOS ANGELES,9818605,7,0,Thu Mar  5 20:30:03 PST 2020,1583469003
SANTA CLARA,1781642,14,0,Thu Mar  5 20:30:03 PST 2020,1583469003
SAN FRANCISCO,805235,3,0,Thu Mar  5 20:30:03 PST 2020,1583469003
SAN DIEGO,3095313,1,0,Thu Mar  5 20:30:03 PST 2020,1583469003
MARIN,252409,1,0,Thu Mar  5 20:30:03 PST 2020,1583469003
SONOMA,483878,2,0,Thu Mar  5 20:30:03 PST 2020,1583469003
SOLANO,413344,13,0,Thu Mar  5 20:30:03 PST 2020,1583469003
NAPA,136484,1,0,Thu Mar  5 20:30:03 PST 2020,1583469003
HUMBOLDT,134623,1,0,Thu Mar  5 20:30:03 PST 2020,1583469003
SACRAMENTO,1418788,2,0,Thu Mar  5 20:30:03 PST 2020,1583469003
ALAMEDA,1510271,2,0,Thu Mar  5 20:30:03 PST 2020,1583469003
WALLA WALLA,58781,1,0,Thu Mar  5 20:30:03 PST 2020,1583469003
PLACER,348432,2,1,Thu Mar  5 20:30:03 PST 2020,1583469003
SAN MATEO,718451,1,0,Thu Mar  5 20:30:03 PST 2020,1583469003
CONTRA COSTA,1049025,1,0,Thu Mar  5 20:30:03 PST 2020,1583469003
ORANGE,3010232,3,0,Thu Mar  5 20:31:00 PST 2020,1583469060
LOS ANGELES,9818605,7,0,Thu Mar  5 20:31:00 PST 2020,1583469060
SANTA CLARA,1781642,14,0,Thu Mar  5 20:31:00 PST 2020,1583469060
SAN FRANCISCO,805235,3,0,Thu Mar  5 20:31:00 PST 2020,1583469060
SAN DIEGO,3095313,1,0,Thu Mar  5 20:31:00 PST 2020,1583469060
MARIN,252409,1,0,Thu Mar  5 20:31:00 PST 2020,1583469060
SONOMA,483878,2,0,Thu Mar  5 20:31:00 PST 2020,1583469060
SOLANO,413344,13,0,Thu Mar  5 20:31:00 PST 2020,1583469060
NAPA,136484,1,0,Thu Mar  5 20:31:00 PST 2020,1583469060
HUMBOLDT,134623,1,0,Thu Mar  5 20:31:00 PST 2020,1583469060
SACRAMENTO,1418788,2,0,Thu Mar  5 20:31:00 PST 2020,1583469060
ALAMEDA,1510271,2,0,Thu Mar  5 20:31:00 PST 2020,1583469060
WALLA WALLA,58781,1,0,Thu Mar  5 20:31:00 PST 2020,1583469060
PLACER,348432,2,1,Thu Mar  5 20:31:00 PST 2020,1583469060
SAN MATEO,718451,1,0,Thu Mar  5 20:31:00 PST 2020,1583469060
CONTRA COSTA,1049025,1,0,Thu Mar  5 20:31:00 PST 2020,1583469060
ORANGE,3010232,3,0,Thu Mar  5 20:33:38 PST 2020,1583469218
LOS ANGELES,9818605,7,0,Thu Mar  5 20:33:38 PST 2020,1583469218
SANTA CLARA,1781642,14,0,Thu Mar  5 20:33:38 PST 2020,1583469218
SAN FRANCISCO,805235,3,0,Thu Mar  5 20:33:38 PST 2020,1583469218
SAN DIEGO,3095313,1,0,Thu Mar  5 20:33:38 PST 2020,1583469218
MARIN,252409,1,0,Thu Mar  5 20:33:38 PST 2020,1583469218
SONOMA,483878,2,0,Thu Mar  5 20:33:38 PST 2020,1583469218
SOLANO,413344,13,0,Thu Mar  5 20:33:38 PST 2020,1583469218
NAPA,136484,1,0,Thu Mar  5 20:33:38 PST 2020,1583469218
HUMBOLDT,134623,1,0,Thu Mar  5 20:33:38 PST 2020,1583469218
SACRAMENTO,1418788,2,0,Thu Mar  5 20:33:38 PST 2020,1583469218
ALAMEDA,1510271,2,0,Thu Mar  5 20:33:38 PST 2020,1583469218
WALLA WALLA,58781,1,0,Thu Mar  5 20:33:38 PST 2020,1583469218
PLACER,348432,2,1,Thu Mar  5 20:33:38 PST 2020,1583469218
SAN MATEO,718451,1,0,Thu Mar  5 20:33:38 PST 2020,1583469218
CONTRA COSTA,1049025,1,0,Thu Mar  5 20:33:38 PST 2020,1583469218
ORANGE,3010232,3,0,Thu Mar  5 20:34:11 PST 2020,1583469251
